10 1.66
20 2.2
30 3.05
40 0.24
50 2.03
60 0.92
70 2.37
80 1.81
90 2.44
100 1.51
110 2.53
120 1.36
130 0.38
140 2.75
150 1.34
160 2.07
170 0.65
180 1.79
190 1.34
200 1.78
210 0.41
220 2.23
230 1.37
240 1.11
250 1.25
260 0.17
270 0.59
280 1.81
290 1.82
300 2.44
310 1.66
320 1.93
330 1.46
340 1.19
350 1.6
360 1.73
370 1.02
380 2.13
390 2
400 0.05
410 1.65
420 1
430 1.88
440 2.46
450 0.74
460 2.18
470 2.01
480 0.46
490 1.84
500 1.78
510 1.54
520 0.55
530 2.43
540 1.55
550 1.17
560 1.94
570 1.09
580 1.3
590 1.28
600 1.08
610 1.87
620 2.05
630 1.02
640 0.37
650 0.46
660 1.21
670 2.18
680 1.35
690 1.57
700 2.54
710 0.76
720 2.15
730 2.44
740 0.86
750 2.23
760 2.32
770 1.34
780 1.12
790 1.28
800 1.8
810 1.63
820 0.77
830 1.83
840 1.18
850 0.42
860 2.22
870 1.4
880 1.4
890 1.54
900 1.76
910 1.05
920 1.25
930 2.33
940 0.54
950 0.97
960 0.8
970 0.44
980 1.48
990 1.92
1000 1.8
